population,time_from_treatment_start,p_value,p_adj
b_cell,0,0.5485408675112389,0.8088791339406572
b_cell,7,0.14386477481769383,0.4315943244530815
b_cell,14,0.014414435042203693,0.2162165256330554
cd8_t_cell,0,0.5139556861462278,0.8088791339406572
cd8_t_cell,7,0.637658094967041,0.8088791339406572
cd8_t_cell,14,0.7407366897157915,0.8533388496175622
cd4_t_cell,0,0.7964495929763914,0.8533388496175622
cd4_t_cell,7,0.02970607205457185,0.2227955404092889
cd4_t_cell,14,0.07547067704462711,0.3773533852231355
nk_cell,0,0.8853281081905569,0.8853281081905569
nk_cell,7,0.13775265937433018,0.4315943244530815
nk_cell,14,0.3147007071269343,0.674358658129145
monocyte,0,0.21138928177193006,0.5284732044298251
monocyte,7,0.48413674295382414,0.8088791339406572
monocyte,14,0.6471033071525258,0.8088791339406572
